Entry_Time,Type,Entry,Exit,Net_Pts,PnL_INR,Reason
2025-10-28 09:32:12.386,SHORT,26013.0,26020.0,-8.0,-3600.0,STOP
2025-10-28 09:53:37.197,SHORT,25995.1,26002.6,-8.5,-3825.0,STOP
2025-10-28 10:12:29.998,SHORT,25903.3,25912.3,-10.0,-4500.0,STOP
2025-10-28 10:39:27.778,SHORT,25884.9,25892.0,-8.099999999998545,-3644.999999999345,STOP
2025-10-28 11:00:06.491,SHORT,25871.5,25879.5,-9.0,-4050.0,STOP
2025-10-28 11:18:54.526,LONG,25881.3,25874.3,-8.0,-3600.0,STOP
2025-10-28 11:36:54.716,LONG,25893.6,25885.8,-8.799999999999272,-3959.9999999996726,STOP
2025-10-28 12:01:26.271,LONG,25867.2,25860.0,-8.200000000000728,-3690.0000000003274,STOP
2025-10-28 12:25:36.898,LONG,25888.0,25879.9,-9.099999999998545,-4094.999999999345,STOP
2025-10-28 12:45:20.008,SHORT,25935.6,25942.9,-8.30000000000291,-3735.0000000013097,STOP
2025-10-28 13:04:34.317,SHORT,25955.0,25940.0,14.0,6300.0,TARGET
2025-10-28 13:24:38.350,LONG,25951.0,25967.6,15.599999999998545,7019.999999999345,TARGET
2025-10-28 13:42:43.051,SHORT,25922.8,25905.6,16.200000000000728,7290.000000000327,TARGET
2025-10-28 14:00:02.575,SHORT,25886.9,25893.9,-8.0,-3600.0,STOP
2025-10-28 14:16:23.380,SHORT,25870.0,25855.0,14.0,6300.0,TARGET
2025-10-28 14:36:01.602,LONG,25845.0,25835.0,-11.0,-4950.0,STOP
2025-10-28 14:56:08.355,LONG,25857.6,25872.6,14.0,6300.0,TARGET
2025-10-28 15:15:08.398,LONG,25945.7,25937.7,-9.0,-4050.0,STOP
2025-10-31 10:30:15.170,SHORT,25990.8,25975.5,14.299999999999272,6434.999999999673,TARGET
2025-10-31 10:52:40.469,SHORT,25961.0,25968.6,-8.599999999998545,-3869.999999999345,STOP
2025-10-31 11:13:40.681,LONG,25922.7,25913.8,-9.900000000001455,-4455.000000000655,STOP
